timestamp_utc,symbol,open,high,low,close,bid,ask,spread
2026-01-05T14:35:00Z,NQ,21004,21008,21000,21006,21005.5,21006.5,1.0
2026-01-05T14:40:00Z,NQ,21006,21025,21003,21022,21021.5,21022.5,1.0
2026-01-05T14:45:00Z,NQ,21022,21038,21018,21035,21034.5,21035.5,1.0
2026-01-05T14:50:00Z,NQ,21035,21050,21030,21048,21047.5,21048.5,1.0
2026-01-06T15:05:00Z,NQ,21116,21120,21110,21112,21111.4,21112.6,1.2
2026-01-06T15:10:00Z,NQ,21112,21114,21098,21100,21099.4,21100.6,1.2
2026-01-06T15:15:00Z,NQ,21100,21105,21080,21085,21084.4,21085.6,1.2
2026-01-07T16:05:00Z,NQ,20884,20890,20880,20888,20887.5,20888.5,1.0
2026-01-07T16:10:00Z,NQ,20888,20902,20884,20898,20897.5,20898.5,1.0
2026-01-07T16:15:00Z,NQ,20898,20920,20894,20915,20914.5,20915.5,1.0
2026-01-08T18:05:00Z,NQ,21195,21200,21188,21190,21189.4,21190.6,1.2
2026-01-08T18:10:00Z,NQ,21190,21194,21170,21175,21174.4,21175.6,1.2
2026-01-08T18:15:00Z,NQ,21175,21182,21145,21150,21149.4,21150.6,1.2
